,,,
,Platform Rating,,
,,,
,Did you encounter any challenges  â†‘,,How do you rate the platform
,,,7
,No comment,,7
,,,7
,Yes,,6
,,,3
,,,4
,,,5
,,,5
,,,4
,,,2
,,,6
,,,5
,,,7
,,,4
,,,7
,,,2
,,,7
,,,7
,,,3
,,,7
,,,7
,,,6
,,,7
,,,7
,,,3
,,,5
,,,5
,,,5
,,,6
,,,7
,,,4
,,,6
,No,,5
,,,7
,,,7
,,,6
,,,7
,,,7
,,,7
,,,6
,,,7
,,,7
,,,6
,,,6
,,,7
,,,7
,,,5
,,,6
,,,5
,,,6
,,,7
,,,6
,,,5
,,,7
,,,6
,,,7
,,,7
,,,6
,,,7
,,,6
,,,5
,,,7
,,,7
,,,6
,,,5
,,,5
,,,5
,,,5
,,,1
,,,2
,,,5
,,,6
,,,6
,,,6
,,,6
,,,6
,,,7
,,,6
,,,4
,,,7
,,,6
,,,6
,,,7
,,,7
,,,7
,,,7
,,,7
,,,6
,,,6
,,,6
,,,6
,,,4
,,,7
,,,7
,,,7
,,,7
,,,7
,,,5
,,,7
,,,5
,,,5
,,,7
,,,7
,,,7
,,,7
,,,6
,,,6
,,,7
,,,7
,,,7
,,,7
,,,7
,,,6
,,,6
,,,7
,,,7
,,,7
,,,5
,,,6
,,,7
,,,7
,,,7
,,,7
,,,7
,,,6
,,,7
,,,
,,,7
,,,7
,,,5
,,,6
,,,1
,,,7
,,,5
,,,7
,,,7
,,,7
,,,5
,,,7
,,,7
,,,7
,,,7
,,,1
,,,7
,,,7
,,,7
,,,7
,,,5
,,,5
,,,7
,,,7
,,,5
,,,6
,,,6
,,,7
,,,7
,,,7
,,,1
,,,7
,,,7
,,,1
,,,4
,,,1
,,,7
,,,7
,,,7
,,,6
,,,7
,,,7
,,,7
,,,2
,,,7
,,,7
,,,1
,,,6
,,,7
,,,7
,,,7
,,,7
,,,7
,,,7
,,,7
,,,7
,,,7
,,,6
,,,7
,,,6
,,,1
,,,6
,,,7
,,,7
,,,7
,,,6
,,,5
,,,7
,,,5
,,,7
,,,7
,,,7
,,,7
,,,7
,,,7
,,,5
,,,5
,,,7
,,,7
,,,7
,,,4
,,,7
,,,7
,,,7
,,,6
,,,7
,,,4
,,,7
,,,7
,,,7
,,,7
,,,5
,,,5
,,,6
,,,6
,,,7
,,,7
,,,6
,,,7
,,,6
,,,7
,,,6
,,,6
,,,6
,,,7
,,,1
,,,7
,,,7
,,,7
,,,6
,,,7
,,,7
,,,6
,,,5
,,,7
,,,7
,,,7
,,,6
,,,7
,,,2
,,,7
,,,7
,,,7
,,,
,,,7
,,,7
,,,7
,,,6
,,,7
,,,7
,,,7
,,,7
,,,7
,,,6